Training Time (s),Training Loss,Training Accuracy (%),Testing Accuracy (%),Parameters
93.38428568840027,0.6935141682624817,48.75,55.00000000000001,102762626
108.73062086105347,0.5579199969768525,73.125,77.5,103131650
847.4296178817749,0.4331261180341244,77.1875,70.0,103131650
118.25866079330444,0.6930649876594543,51.24999999999999,45.0,126132418
105.45941686630249,4.388248428881525e-05,100.0,97.5,111417730
